21559,"Review of The Elves & the Shoemaker. Interviews with Lana Pepper & Donna Weinsting, Jan. 7, 2016",/Volumes/HECTVLibrary/Playlists/tot_160107.xpls,160107,/Users/Administrator/Dropbox/Playlists/tot_160107.xpls
22224,The Art of Family Wine Making,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
22190,Saint Louis Art Museum: A Decade of Collecting,,2032016,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21223,"Review of Wicked and interview with Jef Awada of Webster University, Dec. 24, 2015",/Volumes/HECTVLibrary/Playlists/tot_151224.xpls,151224,/Users/Administrator/Dropbox/Playlists/tot_151224.xpls
21576,Ray Bradbury: One on One with Sam Weller,/Volumes/HECTVLibrary/Playlists/mtb_1601_sam_weller.xpls,1601,/Users/Administrator/Dropbox/Playlists/mtb_1601_sam_weller.xpls
21555,"New Technology: Inside the NFL, On the Run, Close to the Heart.",/Volumes/HECTVLibrary/Playlists/inn_1601_air.xpls,1601,/Users/Administrator/Dropbox/Playlists/inn_1601_air.xpls
21551,International Countertenor Terry Barber - A Man of Many Voices,,,/Users/Administrator/Dropbox/Playlists/sot_1601_terry_barber.xpls
21553,Variety Children's Theatre,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21548,Í¢__ëÅ_Holiday Pops SpectacularÍ¢__ë‘ù presented by St. Louis Philharmonic Orchestra,,,/Users/Administrator/Dropbox/Playlists/hpr_1512_st_louis_on_stage_air.xpls
22070,30th anniversary of the Challenger Space Shuttle,,1282016,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21544,An in-depth conversation with UMSL Chancellor Thomas George,/Volumes/HECTVLibrary/Playlists/acw_1601_tom_george.xpls,1601,/Users/Administrator/Dropbox/Playlists/acw_1601_tom_george.xpls
21538,"Í¢__ëÅ_A Gift to the City,Í¢__ë‘ù presented by the Webster University Department of Music",,,/Users/Administrator/Dropbox/Playlists/hpr_1512_st_louis_on_stage_air.xpls
21433,Show Open and Laumeier Park Expansion,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21407,St. Louis Innovator: Dr. Eric Leuthardt,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21406,Next Generation Pacemaker,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21404,Data Innovation Award,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21402,NFL Medical Innovations & Earbuds for Athletes,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21400,SYNEK Craft Beer Dispenser,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
,Innovations 1512,,1512,/Users/Administrator/Dropbox/Playlists/inn_1512_full show.xpls
21397,Introducing Innovations-December 2015 Show,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21394,Peter and the Starcatcher,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21278,Antique Appraisers,,,/Users/Administrator/Dropbox/Playlists/PROXY.xpls
21231,"Webster University Presents A Gift to the City"" and St. Louis Philharmonic Orchestra Presents ""Holiday Pops Spectacular""""",,1512,/Users/Administrator/Dropbox/Playlists/hpr_1512_st_louis_on_stage_air.xpls
21227,The Secret Chord: One on One with Geraldine Brooks,/Volumes/HECTVLibrary/Playlists/mtb_1512_brooks.xpls,1512,/Users/Administrator/Dropbox/Playlists/mtb_1512_brooks.xpls
21225,"Outside the Box, December 2015",/Volumes/HECTVLibrary/Playlists/btm_1512.xpls,1512,/Users/Administrator/Dropbox/Playlists/btm_1512.xpls
21221,"Reviews of Peter and the Starcatcher, Bad Jews, The Gin Game, and others, Dec. 10, 2015",,151210,/Users/Administrator/Dropbox/Playlists/tot_151210.xpls
